Gen Index, Gen Bus,1, 2, 3, 4, 5, 6, 7, 8, 9, 10
218, 1058, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
219, 1059, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
220, 1060, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
221, 1061, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
222, 1062, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
223, 1063, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
224, 1064, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
225, 1065, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
226, 1066, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
227, 1067, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
228, 1068, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
229, 1069, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
230, 1070, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
231, 1071, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
232, 1072, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
233, 1073, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
234, 1074, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
235, 1075, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
236, 1076, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
237, 1077, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
238, 1078, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
