Gen Index, Gen Bus, Upper Bound,1, 2, 3, 4, 5, 6, 7, 8, 9, 10
218, 1058, 50.0, 0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0 
219, 1059, 50.0, 0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0 
220, 1060, 155.0, 0.0,0.0,0.0,-2.0,0.0,155.0,155.0,155.0,155.0,155.0 
221, 1061, 155.0, 0.0,0.0,0.0,-2.0,0.0,155.0,155.0,155.0,155.0,155.0 
222, 1062, 350.0, 0.0,0.0,0.0,-4.0,0.0,350.0,350.0,350.0,350.0,350.0 
223, 1063, 55.00000000000001, 0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0,55.0 
224, 1064, 55.00000000000001, 0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0,55.0 
225, 1065, 55.00000000000001, 0.0,0.0,0.0,-1.0,0.0,55.0,0.0,55.0,55.0,55.0 
226, 1066, 20.0, 0.0,0.0,0.0,0.0,-0.0,0.0,20.0,20.0,20.0,20.0 
227, 1067, 20.0, 0.0,0.0,0.0,0.0,-0.0,0.0,0.0,20.0,20.0,20.0 
228, 1068, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
229, 1069, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
230, 1070, 20.0, 0.0,0.0,0.0,0.0,-0.0,0.0,20.0,20.0,20.0,20.0 
231, 1071, 20.0, 0.0,0.0,0.0,0.0,-0.0,0.0,20.0,20.0,20.0,20.0 
232, 1072, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
233, 1073, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
234, 1074, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
235, 1075, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
236, 1076, 355.0, 0.0,0.0,0.0,0.0,-4.0,0.0,355.0,355.0,355.0,355.0 
237, 1077, 0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
238, 1078, 12.0, 0.0,0.0,0.0,0.0,-0.0,0.0,12.0,12.0,12.0,12.0 
239, 1079, 12.0, 0.0,0.0,0.0,0.0,-0.0,0.0,12.0,12.0,12.0,12.0 
240, 1080, 12.0, 0.0,0.0,0.0,0.0,-0.0,0.0,12.0,12.0,12.0,12.0 
241, 1081, 12.0, 0.0,0.0,0.0,0.0,-0.0,0.0,12.0,12.0,12.0,12.0 
242, 1082, 12.0, 0.0,0.0,0.0,0.0,-0.0,0.0,12.0,12.0,12.0,12.0 
243, 1083, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
244, 1084, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,0.0,9.0 
245, 1085, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
246, 1086, 155.0, 0.0,0.0,0.0,0.0,-2.0,0.0,155.0,155.0,155.0,155.0 
247, 1087, 355.0, 0.0,0.0,0.0,0.0,-4.0,0.0,355.0,355.0,355.0,355.0 
248, 1088, 355.0, 0.0,0.0,0.0,0.0,-4.0,0.0,355.0,355.0,0.0,355.0 
249, 1089, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
250, 1090, 55.00000000000001, 0.0,0.0,0.0,0.0,-1.0,0.0,55.0,55.0,55.0,55.0 
251, 1091, 50.0, 0.0,0.0,0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0 
252, 1092, 50.0, 0.0,0.0,0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0 
253, 1093, 50.0, 0.0,0.0,0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0 
254, 1094, 50.0, 0.0,0.0,0.0,0.0,-0.0,0.0,50.0,50.0,50.0,50.0 
255, 1095, 355.0, 0.0,0.0,0.0,0.0,-4.0,0.0,355.0,355.0,355.0,355.0 
256, 1096, 355.0, 0.0,0.0,0.0,0.0,-4.0,0.0,355.0,355.0,355.0,355.0 
